CMPLNT_NUM,LAW_CAT_CD,OFNS_DESC,RPT_DT,Latitude,Longitude,Lat_Lon,index_right,BoroCode,BoroName,NTA_Code_x,NTAName,NTAAbbrev,NTAType,CDTA2020,CDTAName,Shape_Leng,Shape_Area,Neighborhood,Population_x,Borough,Year,FIPS County Code,NTA_Code_y,Population_y
294923048,V,HARRASSMENT 2,10/14/2024,40.601708,-74.000059,"(40.601708, -74.000059)",36,3,Brooklyn,BK1102,Bath Beach,BthBch,0,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),22422.37382,20556458.01,Bath Beach,,Brooklyn,2000,47,BK27,28572
294923048,V,HARRASSMENT 2,10/14/2024,40.601708,-74.000059,"(40.601708, -74.000059)",36,3,Brooklyn,BK1102,Bath Beach,BthBch,0,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),22422.37382,20556458.01,Bath Beach,,Brooklyn,2010,47,BK27,29931
283659688,F,GRAND LARCENY,3/13/2024,40.737117,-74.001799,"(40.737117, -74.001799)",123,1,Manhattan,MN0203,West Village,WstVlg,0,MN02,MN02 Greenwich Village-SoHo (CD 2 Equivalent),23882.33934,14417744.13,West Village,,Manhattan,2000,61,MN23,68483
283659688,F,GRAND LARCENY,3/13/2024,40.737117,-74.001799,"(40.737117, -74.001799)",123,1,Manhattan,MN0203,West Village,WstVlg,0,MN02,MN02 Greenwich Village-SoHo (CD 2 Equivalent),23882.33934,14417744.13,West Village,,Manhattan,2010,61,MN23,66880
284485344,F,SEX CRIMES,3/28/2024,40.57428569,-74.10591441,"(40.5742856881925, -74.1059144051212)",248,5,Staten Island,SI0202,New Dorp-Midland Beach,NwDrp_MBch,0,SI02,SI02 Mid-Island (CD 2 Approximation),50207.45273,62182628.81,New Dorp-Midland Beach,,Staten Island,2000,85,SI45,20242
284485344,F,SEX CRIMES,3/28/2024,40.57428569,-74.10591441,"(40.5742856881925, -74.1059144051212)",248,5,Staten Island,SI0202,New Dorp-Midland Beach,NwDrp_MBch,0,SI02,SI02 Mid-Island (CD 2 Approximation),50207.45273,62182628.81,New Dorp-Midland Beach,,Staten Island,2010,85,SI45,21896
282129927,M,CRIMINAL MISCHIEF & RELATED OF,2/12/2024,40.63574,-74.121444,"(40.63574, -74.121444)",244,5,Staten Island,SI0106,Port Richmond,PrtRchmnd,0,SI01,SI01 North Shore (CD 1 Equivalent),39708.16109,36236919.44,Port Richmond,,Staten Island,2000,85,SI28,18042
282129927,M,CRIMINAL MISCHIEF & RELATED OF,2/12/2024,40.63574,-74.121444,"(40.63574, -74.121444)",244,5,Staten Island,SI0106,Port Richmond,PrtRchmnd,0,SI01,SI01 North Shore (CD 1 Equivalent),39708.16109,36236919.44,Port Richmond,,Staten Island,2010,85,SI28,20191
283739875,F,GRAND LARCENY,3/14/2024,40.729048,-74.002506,"(40.729048, -74.002506)",123,1,Manhattan,MN0203,West Village,WstVlg,0,MN02,MN02 Greenwich Village-SoHo (CD 2 Equivalent),23882.33934,14417744.13,West Village,,Manhattan,2000,61,MN23,68483
283739875,F,GRAND LARCENY,3/14/2024,40.729048,-74.002506,"(40.729048, -74.002506)",123,1,Manhattan,MN0203,West Village,WstVlg,0,MN02,MN02 Greenwich Village-SoHo (CD 2 Equivalent),23882.33934,14417744.13,West Village,,Manhattan,2010,61,MN23,66880
291211610,F,GRAND LARCENY,8/5/2024,40.632974,-73.996262,"(40.632974, -73.996262)",39,3,Brooklyn,BK1202,Borough Park,BoroPk,0,BK12,BK12 Borough Park-Kensington (CD 12 Approximation),28481.07934,40481286.01,Borough Park,,Brooklyn,2000,47,BK88,101055
291211610,F,GRAND LARCENY,8/5/2024,40.632974,-73.996262,"(40.632974, -73.996262)",39,3,Brooklyn,BK1202,Borough Park,BoroPk,0,BK12,BK12 Borough Park-Kensington (CD 12 Approximation),28481.07934,40481286.01,Borough Park,,Brooklyn,2010,47,BK88,106357
295736322,F,BURGLARY,10/31/2024,40.730619,-74.002644,"(40.730619, -74.002644)",123,1,Manhattan,MN0203,West Village,WstVlg,0,MN02,MN02 Greenwich Village-SoHo (CD 2 Equivalent),23882.33934,14417744.13,West Village,,Manhattan,2000,61,MN23,68483
295736322,F,BURGLARY,10/31/2024,40.730619,-74.002644,"(40.730619, -74.002644)",123,1,Manhattan,MN0203,West Village,WstVlg,0,MN02,MN02 Greenwich Village-SoHo (CD 2 Equivalent),23882.33934,14417744.13,West Village,,Manhattan,2010,61,MN23,66880
290658695,M,VEHICLE AND TRAFFIC LAWS,7/25/2024,40.63278555,-74.13711256,"(40.63278554871697, -74.1371125638854)",244,5,Staten Island,SI0106,Port Richmond,PrtRchmnd,0,SI01,SI01 North Shore (CD 1 Equivalent),39708.16109,36236919.44,Port Richmond,,Staten Island,2000,85,SI28,18042
